Post Date,Account Number,Account Name,Type,Amount,Customer Reference,Transaction Detail,Balance
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Opening Ledger",1602151.77,,,1602151.77
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",81.17,"AU 90 63843       ","LEADING LIVES LTD AU/90/63843       ",1602232.94
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",97.92,"UKPP-000004647    ","DIRECT WINES LTD  UKPP-000004647    ",1602330.86
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",103.56,"BACS PAYMENT      ","SPECFLUE LTD      BACS PAYMENT      ",1602434.42
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",110.22,"10262545          ","GK B&R AP ACCOUNT 10262545          ",1602544.64
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",112.43,"SI-777556         ","ARISTOCRATE DISTRISI-777556         ",1602657.07
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",122.57,"SI-782049         ","FEFUNDINFOLIMITED SI-782049         ",1602779.64
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",130.16,"SI-787969         ","LCC ACCTS PAYABLE SI-787969         ",1602909.80
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",153.71,"LIQUID LINE       ","STRUERS LIMITED   LIQUID LINE       ",1603063.51
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",156.00,"1000 2000039500 K ","PLESSEY SEMI LTD. 1000 2000039500 K ",1603219.51
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",169.20,"J7   0010573146 K ","BPB UK LTD        J7   0010573146 K ",1603388.71
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",171.12,"ADKWIK - ADK001   ","ADKWIK LIMITED    ADKWIK - ADK001   ",1603559.83
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",190.02,,"BORRAS C/LTD W    ",1603749.85
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",199.19,"506126572         ","CARDNET  506126572506126572         ",1603949.04
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",229.50,"SI-787917         ","CADENCE DESIGN SYSSI-787917         ",1604178.54
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",231.17,,"JUST RETIREMENT   ",1604409.71
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",239.56,"BACS              ","NHC NHS TRUST     BACS              ",1604649.27
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",245.40,"INV SI-781194     ","KITSON & TROTMAN  INV SI-781194     ",1604894.67
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",266.91,"L0000017          ","ARNOLD CLARK AUTOML0000017          ",1605161.58
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",298.22,"FORD&SLATERSHEFFIE","SHEFFIELD         FORD&SLATERSHEFFIE",1605459.80
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",300.55,"251124437         ","BURO HAPPOLD LTD  251124437         ",1605760.35
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",302.56,"SST-PAYMENT1008871","SST CURRENT GBP   SST-PAYMENT1008871",1606062.91
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",317.87,"OECONNECTION LIMIT","CLIFFORD THAMES   OECONNECTION LIMIT",1606380.78
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",348.35,"LEXUS             ","EASTERN WESTERN MOLEXUS             ",1606729.13
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",374.31,"595157            ","BUPA PAYMENTS     595157            ",1607103.44
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",383.79,"CA251125119       ","CARBON TRUST      CA251125119       ",1607487.23
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",410.44,"020617 - BLUNDELLS","BLUNDELLS SCHOOL  020617 - BLUNDELLS",1607897.67
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",411.81,"BACS REMITTANCE PL","NORWICH AUDI      BACS REMITTANCE PL",1608309.48
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",412.23,"BACS REMITTANCE PL","WAYLANDS AUTOMOTIVBACS REMITTANCE PL",1608721.71
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",424.37,"EF755929          ","EPIC GAMES ANIMATIEF755929          ",1609146.08
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",437.02,,"RCBC ACCS PAYABLE ",1609583.10
27/11/2025,309455-45002268 GBP,"LIQUIDLINE LIMITED","Bank Giro Credit",442.29,"BACS REMITTANCE PL","BISHOPS STORTFOR  BACS REMITTANCE PL",1610025.39
